	logFC	AveExpr	t	P.Value	adj.P.Val	B
1357	5.01827500083818	10.3450827615931	19.7078787114444	1.43265392733166e-30	3.02691121766633e-26	59.0519349976497
6410	5.32307067876345	8.79781901705982	19.1586790350216	7.83634777017987e-30	6.51399987846902e-26	57.3963171222866
19004	-4.67659208916493	6.35533349320188	-19.1056664825457	9.24933719964364e-30	6.51399987846902e-26	57.2346539783946
10771	2.29673425680155	12.1385832397676	18.0838793740714	2.40276691925316e-28	1.26914148674952e-24	54.0534962155229
14765	-3.79368804259001	9.89892098704788	-17.815094326158	5.7742376342274e-28	2.43996185471913e-24	53.1957071528735
12863	3.35377635395797	9.15701357708937	17.602393251971	1.16261994214797e-27	4.09397235628373e-24	52.5105880865379
11356	2.71467834299767	13.4409563218572	17.5405239533449	1.42653907095858e-27	4.30570249874469e-24	52.3102501544045
6623	-2.03821081970252	8.98675867230953	-16.8684724000685	1.35580849724347e-26	3.31272794071932e-23	50.1031397184177
14054	3.06422807777382	13.3339530464048	16.8566796596277	1.41113931590656e-26	3.31272794071932e-23	50.0639004768876
18849	-5.63097818703442	6.59686468158144	-16.6820489900745	2.55668001396252e-26	5.40175353350001e-23	49.4807548880438
7401	-4.73088236974136	9.60216724632412	-16.6264234961882	3.09194741584301e-26	5.93878772744828e-23	49.2941846053692
7165	-2.53484643411672	9.71222143341149	-16.4331328406671	6.00324797809706e-26	1.05697186067696e-22	48.6427882042033
16707	-3.03524696395508	6.73796181492619	-16.3813860654632	7.17577952640946e-26	1.16622976795369e-22	48.4675828052746
114	3.55564394308166	12.5361625206222	16.3183242367584	8.92254959609094e-26	1.34654019904435e-22	48.2535989247871
15101	1.91520593642386	10.8179407128396	16.1073472647746	1.85610934018974e-25	2.61439187596859e-22	47.533958357284
8898	-2.22857983631603	9.62318589921709	-16.0189429556984	2.52706717738965e-25	3.33699220774304e-22	47.2306926167277
11626	-8.11599921731916	8.05088716318456	-15.8926200298899	3.93412021479023e-25	4.88941717047576e-22	46.7955814376141
11015	-2.43174879883337	10.2497376720995	-15.8237008761969	5.01292117662804e-25	5.88405547887763e-22	46.5573151031941
17335	3.00122876131774	10.3417250705209	15.6525109595381	9.17547741307432e-25	1.02031308833386e-21	45.9627888673825
10276	-2.28322345780978	10.2084902569878	-15.5262226740765	1.43659034646175e-24	1.5176140420022e-21	45.5217368731941
2568	-3.43673094081439	6.04531697858665	-15.4851208283116	1.66299203457275e-24	1.67312836697395e-21	45.3777396203365
4256	-3.49469670713414	6.23838234622608	-15.408723116224	2.18410340174043e-24	2.04460244220076e-21	45.1094951061878
5478	-3.52135816268094	8.44473397373767	-15.4034356523651	2.22575994749231e-24	2.04460244220076e-21	45.0909015358404
19621	1.90864145125115	7.40895579641187	15.3737837333456	2.47469054990017e-24	2.13142950617332e-21	44.9865611559109
10476	-3.52619601969219	9.95679759001292	-15.3684857138535	2.52204362241258e-24	2.13142950617332e-21	44.967906066246
12928	3.75254522008222	7.627623599218	15.2777235720848	3.4915039830564e-24	2.83724985207752e-21	44.6477445943036
1805	3.50829782296446	8.45404289568108	15.2085032890056	4.47765309883139e-24	3.50384646933739e-21	44.4028408493342
10737	-5.1482006943714	6.98746489868164	-15.1117149378844	6.34686857538283e-24	4.78916568788173e-21	44.0593390914583
676	-3.50049504924839	8.47488719873505	-15.0561755495617	7.75769299790609e-24	5.65188060895724e-21	43.8616706658803
5748	1.98383269021763	11.5113669977133	14.9856866162466	1.00141867257242e-23	7.05265790470336e-21	43.6102082351353
3981	-4.47830421648468	6.1874444658496	-14.9487453992851	1.14508075619459e-23	7.80427942479977e-21	43.4781614310459
18593	-5.23013496043149	6.49065652035723	-14.9189572034479	1.27596335165557e-23	8.42454802930593e-21	43.3715516148308
15308	-1.60215681738061	9.28524988002215	-14.871334309868	1.51734143225049e-23	9.71466356987525e-21	43.2008686271824
17143	-3.03607291256404	8.21771231235699	-14.8525615397922	1.6247224905017e-23	1.00962166997999e-20	43.133503484539
4287	1.67108745050812	11.16948583434	14.8266190435504	1.78586532996637e-23	1.07805036261513e-20	43.0403333147133
