	logFC	AveExpr	t	P.Value	adj.P.Val	B
NM_003319	-8.302032976186	13.3124163341893	-22.4037188904567	1.58489336178264e-19	1.90385964040181e-15	33.1161387963231
NM_001100	-6.97263405113853	13.7083047939539	-22.2964811145392	1.80221472964957e-19	1.90385964040181e-15	33.0091233505235
NM_017627	-12.5083259506237	11.2023655233518	-16.5648287891807	4.4381400804902e-16	3.12563412068656e-12	26.1955019377957
AF098518	-6.68927524394174	13.4890877200369	-16.278339351373	6.94337303534093e-16	3.66748963726708e-12	25.788983381442
NM_003063	-8.73295338427502	12.7812946360153	-15.8334844826454	1.40919039649362e-15	5.30498582270703e-12	25.1430822586668
AI183766	-8.42532717693824	12.8010382815715	-15.7920185339536	1.50652759069681e-15	5.30498582270703e-12	25.0819482170154
AF072098	-5.95024246690609	13.8437109733813	-15.4050275477819	2.82931284825353e-15	8.53967455112866e-12	24.5035883234744
AB009010	-8.57360890205354	12.8105881633532	-14.7101744052739	9.05954557977521e-15	2.39262598761863e-11	23.4286259879307
NM_013292	-8.06443999294513	13.2915089839743	-14.5358719415624	1.22127440497407e-14	2.86700951425469e-11	23.1513672837012
NM_000998	-6.55878617765773	13.7979930408224	-14.4164733762935	1.50092610757649e-14	3.17115668008762e-11	22.9596353980035
AI721229	-10.122350168401	12.6883274272851	-13.5465949068567	7.02112020023382e-14	1.34856570536855e-10	21.5170285329363
BG498776	-8.18063028401832	13.1786505673599	-13.0640413389551	1.7063698244329e-13	3.00434847088486e-10	20.6807114184411
NM_000558	-6.00496225426095	13.2883417752603	-13.0071997270504	1.89751287791562e-13	3.08389631420009e-10	20.5804431509755
AA905286	3.24032425401733	7.70518607949284	12.8431394538448	2.5828423431106e-13	3.89787807323148e-10	20.2889295993
BC000354	-1.97228049697539	14.3248779487097	-12.6980292141285	3.40072834370594e-13	4.79003922972127e-10	20.0284491772153
NM_003279	-7.50695397366321	13.4486462779966	-12.6068570865446	4.04702923160487e-13	5.34410210033423e-10	19.8635109651699
AF119850	-4.80545697006692	13.812897820936	-12.4232918664206	5.76049115007351e-13	7.15927394227959e-10	19.5283995859925
M20643	-6.50386156937246	13.8726796102269	-12.1944247742484	8.99216416148191e-13	1.05548024668772e-09	19.1048537984961
NM_000257	-2.74434294295283	14.9547067956911	-12.0162282893772	1.27702777528417e-12	1.42005488611599e-09	18.7706130791437
AF088184	-3.14060978651582	13.4820477495375	-11.9012450168178	1.60443311040349e-12	1.69293959371145e-09	18.5528394853319
NM_000994	-4.40757243623654	13.7081763722373	-11.8643963898697	1.72673217965372e-12	1.69293959371145e-09	18.4826983918968
NM_001231	-1.97318345656669	14.3252566975697	-11.8540375224893	1.76281101200548e-12	1.69293959371145e-09	18.4629495454768
V00489	-5.04634085345215	13.2007127853085	-11.63989360421	2.71056426606486e-12	2.48994790493124e-09	18.0516438325829
AK026525	-15.4450815725384	9.74590364547855	-11.5599528251519	3.18715845295896e-12	2.78724974264888e-09	17.8966017612494
NM_018955	-2.6460907927921	14.5579413006081	-11.5431193701456	3.29805204308131e-12	2.78724974264888e-09	17.8638492870255
AL566786	-2.01426546642013	15.0058467049355	-11.4735983250816	3.79975410775121e-12	3.08773864571414e-09	17.7281967974232
NM_001404	-4.54620107481757	13.8584243536178	-11.3555269605947	4.83912193683889e-12	3.78670252894563e-09	17.4963770834419
BE963164	-4.60676296814438	13.9717185050268	-11.2515433473616	5.99572873906268e-12	4.5242055999613e-09	17.2907135144946
