	logFC	AveExpr	t	P.Value	adj.P.Val	B
NM_016104.2	-0.130753109454397	3.06215783304276	-13.0496224303514	5.51462577098245e-26	2.37470814950046e-21	48.2760193478071
XM_930545.1	-0.0995328427466561	3.11394601613998	-12.0811840054059	1.75139811423862e-23	3.15430022920101e-19	42.5341135571927
AK127466	-0.101555996233953	3.06500989720287	-12.0431264288224	2.19750608137175e-23	3.15430022920101e-19	42.3080224603709
NM_001013439.1	-0.13122883796457	3.09078964744604	-11.8134368675225	8.64656436783611e-23	9.30845887019396e-19	40.9432606100753
NM_138998.1	-0.108920878220316	3.14990946921678	-11.6174917328414	2.78267791037697e-22	2.39655352353306e-18	39.7789591017352
NR_001588.1	-0.143233495047185	3.23065884827268	-11.327601084415	1.5679435475319e-21	1.12531308406365e-17	38.0571068976214
XM_942415.1	-0.127135072674278	3.17316731998875	-11.2034001505584	3.28763934464054e-21	1.88215098266089e-17	37.3198836044462
NM_152405.2	-0.135199698359142	3.0886576667195	-11.1930593705083	3.49663458763809e-21	1.88215098266089e-17	37.2585214734836
XM_930963.1	-0.0605490102647761	3.04216377769186	-10.7518192619745	4.83607261852865e-20	2.31389954554534e-16	34.6437484549719
NR_002450.1	-0.15134069035306	3.39949669226028	-10.7105521955312	6.1805644052733e-20	2.66147464419879e-16	34.3996416028516
NM_005345.4	0.22747948824505	3.69090718826414	10.5809930459076	1.33434200797847e-19	5.22358504977898e-16	33.6338738666444
NM_001015881.1	-0.0925410969147116	3.06079226119201	-10.2970495205631	7.18368532139426e-19	2.57786547758233e-15	31.9593700096879
BC067908	-0.16738436484545	3.45382889300819	-10.2100778321845	1.20174913162657e-18	3.98074777739256e-15	31.4476640917884
NM_080677.1	-0.16527420566318	3.4501922560243	-10.1871576303304	1.37614765107268e-18	4.11372926263855e-15	31.3129142434661
NM_001003704.1	-0.127696510335968	3.17681035370447	-10.1803143875976	1.43295571361243e-18	4.11372926263855e-15	31.2726908254701
XM_944439.2	-0.14755911144751	3.16697144216529	-10.1153087804976	2.10394225995689e-18	5.66249759989149e-15	30.8908007138347
NM_024776.2	-0.037291283660579	2.99239479373573	-10.06117016758	2.89626241165446e-18	7.3364030570979e-15	30.5730385103213
NM_012214.2	-0.174410449860326	3.35893445912246	-10.0450399854139	3.18546628409872e-18	7.62069717365883e-15	30.4784158316906
AW979088	-0.0901987439163379	3.08730572492677	-10.0206694284053	3.67795641124857e-18	7.93714380831352e-15	30.335499957135
NM_153757.1	-0.0875787642039302	3.09635556073197	-10.0202815633607	3.6863795496324e-18	7.93714380831352e-15	30.3332258618366
NM_001744.3	-0.0627222936147526	3.05061181330119	-9.98349626986551	4.57925950579928e-18	9.39009870660612e-15	30.1176154391497
NM_144728.1	-0.06094574460138	2.98440691312271	-9.97546513883274	4.80124064779929e-18	9.39777385343332e-15	30.0705598936893
NM_181724.1	-0.0728021170743048	2.99978144623306	-9.95066286724049	5.55682668013078e-18	9.6107429276745e-15	29.9252800364244
NM_006538.3	-0.0694375955401642	3.04553767809427	-9.95013691868531	5.57407212989015e-18	9.6107429276745e-15	29.9221999435477
NR_002565.1	-0.0871413557141947	3.09275900794423	-9.94996878860586	5.57959623779347e-18	9.6107429276745e-15	29.9212153354801
XM_936029.1	-0.124298284287344	3.14138417517892	-9.91722696356898	6.76638422151329e-18	1.08457958146385e-14	29.7295260308735
NM_016498.3	-0.114516868230559	3.25401523767869	-9.91637672812822	6.80034571072502e-18	1.08457958146385e-14	29.7245497175776
NM_004625.3	-0.0974477209795616	3.06274109685418	-9.88463268954111	8.1976625500551e-18	1.26074194546597e-14	29.5388094055846
NM_005904.2	-0.159254831824355	3.25314352658775	-9.86879179129647	8.99858999833744e-18	1.33619752589106e-14	29.4461605540076
NM_002713.2	-0.0489726476125389	2.99767934550029	-9.83266193171032	1.11294006404075e-17	1.59751416792409e-14	29.2349468397931
NM_181838.1	-0.137558059275944	3.21281157329785	-9.77132802930775	1.5959771250015e-17	2.11844328366163e-14	28.8767154734448
NM_006290.2	-0.260348894711671	3.62562688314926	-9.77106631852502	1.59843258816503e-17	2.11844328366163e-14	28.8751877979688
NM_001005738.1	0.212163479498964	3.24733489654616	9.76842341753555	1.62344127910533e-17	2.11844328366163e-14	28.859760912078
AV757863	-0.160486164390745	3.15565540709083	-9.7509172206419	1.79923730528346e-17	2.27198395282469e-14	28.7575952935621
NM_032260.2	-0.040081984163983	2.9851611234989	-9.74648975082382	1.84662668591482e-17	2.27198395282469e-14	28.7317622128568
XM_945979.1	-0.0577454932947239	3.06051456866666	-9.69592292833799	2.48466565128252e-17	2.97207422987578e-14	28.4368782469076
NM_134428.1	-0.0476420508840771	3.03749457156697	-9.66234156497493	3.0254996612174e-17	3.52119098409037e-14	28.2412113219954
NM_006163.1	0.175486668469876	3.6096728308373	9.6013876844462	4.32418025806437e-17	4.90020658612547e-14	27.8864007640639
BX101252	-0.116529136758631	3.16256435728397	-9.59126433114033	4.58824525435399e-17	5.06612864469209e-14	27.8275172060746
XM_945981.1	-0.136778877522192	3.23201734029461	-9.58265878623777	4.82531633136747e-17	5.13045133349996e-14	27.7774721832318
NM_006145.1	-0.16198801750428	3.43049291118479	-9.5805663152907	4.88478251529187e-17	5.13045133349996e-14	27.7653049459519
