	logFC	AveExpr	t	P.Value	adj.P.Val	B
NM_002827.2	-0.0757806523996606	3.37423378645649	-6.00453360001538	9.22157728326034e-07	0.00732520805917931	5.55471266878227
NM_014017.1	0.0660777735682997	3.32024457256379	5.70463989821791	2.23999732878059e-06	0.00732520805917931	4.68557791568538
NM_001006612.1	0.0644314962338728	2.82860729741867	5.66196062233691	2.54207606881787e-06	0.00732520805917931	4.56178612867665
NM_004843.2	-0.0696178509426866	3.31279278104696	-5.62818684427311	2.80980037380393e-06	0.00732520805917931	4.46382157060616
NM_024684.2	0.0549781874209334	2.92604023729944	5.60959705014702	2.96903132199034e-06	0.00732520805917931	4.40990005109388
NM_004628.3	-0.0714114007388098	3.33734412939445	-5.6023849471063	3.03321244686514e-06	0.00732520805917931	4.38898085940202
NM_001077498.1	-0.0583102539835688	3.11711440546263	-5.51196494669972	3.96615046088275e-06	0.00820993145402729	4.12673869747475
NM_002144.3	0.0591114327873132	2.90591127426521	5.4330903792165	5.01163492008194e-06	0.00907732374899842	3.89806181189648
